lat,lon,date_iso,plant
37.74683,40.17118,2021-11-28,Domates
37.22064,39.17407,2023-08-27,Pamuk
36.72216,40.16912,2023-11-25,Biber
37.84973,38.72917,2020-04-30,Antep Fıstığı
37.47773,38.14088,2024-08-27,Nohut
37.65755,39.59444,2020-02-05,Buğday
36.74831,40.23535,2020-03-31,Buğday
37.44733,39.56969,2022-11-10,Nohut
37.57638,39.21909,2021-11-07,Nohut
37.13209,38.17936,2021-07-13,Domates
37.41291,39.95748,2022-09-27,Mercimek
37.87063,39.75912,2025-05-07,Antep Fıstığı
37.58253,39.85557,2025-09-14,Buğday
37.18593,38.66266,2022-07-05,Mercimek
37.74418,39.33085,2022-07-24,Mercimek
37.3749,40.00678,2021-11-06,Arpa
37.83278,38.63762,2022-05-09,Arpa
36.73027,38.30237,2020-11-28,Arpa
36.94575,40.23825,2025-05-30,Domates
36.67479,40.19871,2023-07-15,Buğday
36.80072,39.2074,2020-02-07,Buğday
36.90871,39.78531,2024-10-24,Buğday
37.34398,39.70772,2024-11-14,Domates
37.82815,40.06607,2025-04-08,Mercimek
37.45803,38.84339,2020-10-04,Arpa
37.47287,38.03264,2023-10-04,Arpa
37.64333,38.51847,2024-10-14,Arpa
36.8439,37.92108,2024-12-11,Mercimek
37.25603,40.14031,2020-01-04,Domates
36.65346,39.61669,2024-01-13,Buğday
37.79182,39.33619,2024-09-27,Buğday
37.04307,39.61119,2022-09-08,Mısır
37.26848,40.21801,2020-01-14,Mercimek
36.94595,38.74182,2024-08-30,Domates
37.61097,40.14925,2021-06-23,Buğday
37.89103,39.76726,2023-06-14,Pamuk
37.30857,38.39907,2023-07-20,Arpa
37.51333,38.79383,2020-02-24,Buğday
37.64735,39.60802,2023-03-20,Buğday
37.90028,39.61295,2022-12-04,Biber
37.07159,40.03212,2021-05-26,Mercimek
37.6215,37.85173,2025-03-22,Antep Fıstığı
36.69121,40.20451,2025-06-09,Domates
37.87914,38.76951,2024-11-24,Mısır
37.53836,39.30835,2022-11-11,Antep Fıstığı
37.2997,39.62933,2021-01-06,Pamuk
36.81644,39.20769,2020-01-25,Biber
37.34362,40.13487,2021-01-14,Nohut
37.21098,39.64148,2022-04-11,Mercimek
37.58253,38.9582,2023-09-11,Mercimek
36.91594,37.81487,2023-04-30,Mercimek
37.34137,39.00752,2023-02-22,Antep Fıstığı
37.85829,38.34945,2021-02-15,Mercimek
37.90352,39.89301,2020-02-17,Biber
37.84291,39.47648,2025-05-03,Antep Fıstığı
37.04865,39.87172,2022-04-02,Pamuk
36.95413,38.1223,2025-10-18,Pamuk
37.46767,38.89792,2025-08-03,Buğday
37.42593,38.2616,2020-03-12,Mısır
37.5685,38.87524,2021-10-10,Domates
37.39047,38.44964,2021-05-29,Mısır
37.84717,39.32571,2022-08-30,Buğday
37.76351,40.00168,2025-03-09,Arpa
37.83275,40.01853,2022-08-15,Domates
37.17516,38.37631,2022-11-17,Pamuk
37.03801,38.44333,2023-11-26,Buğday
37.24348,39.5144,2020-01-20,Domates
37.45655,38.02388,2020-10-29,Biber
37.47686,37.91424,2024-12-10,Pamuk
36.69547,39.91477,2020-12-16,Mercimek
37.19156,39.40942,2020-08-16,Arpa
37.55695,39.58625,2024-07-09,Mercimek
37.28375,39.21819,2021-05-11,Buğday
37.01061,39.26306,2020-04-09,Mercimek
37.28961,37.86039,2021-05-16,Pamuk
36.71395,38.87083,2025-07-10,Buğday
37.23074,39.93443,2020-03-29,Domates
37.74148,38.0447,2023-09-03,Mısır
37.7472,40.14773,2021-11-06,Domates
37.94044,38.24394,2023-12-17,Buğday
37.02604,40.02698,2022-02-21,Antep Fıstığı
36.82267,38.63552,2025-02-16,Nohut
37.58308,39.30455,2023-02-02,Pamuk
37.70119,40.23242,2020-04-08,Mısır
37.27557,38.64322,2021-11-27,Arpa
37.14062,40.18921,2024-07-11,Nohut
37.18177,38.67125,2021-04-13,Antep Fıstığı
36.71834,39.82211,2021-09-01,Mercimek
37.86038,39.21725,2025-12-05,Antep Fıstığı
37.56153,39.42051,2022-08-05,Arpa
37.86894,39.11065,2023-03-23,Mısır
36.77573,39.51852,2022-10-30,Antep Fıstığı
37.86442,39.64059,2025-11-30,Pamuk
37.3765,38.63095,2020-02-16,Arpa
37.81733,39.51666,2024-10-16,Mercimek
37.78892,37.96409,2025-04-29,Mısır
37.61038,40.21346,2022-12-31,Biber
37.1943,37.94716,2020-12-14,Mercimek
37.60524,39.01716,2025-08-19,Mercimek
37.10682,38.39319,2025-11-23,Biber
37.70829,39.74978,2022-04-26,Mısır
36.7232,38.26606,2024-10-08,Antep Fıstığı
37.07819,38.14947,2025-07-19,Pamuk
37.29592,40.24322,2024-01-07,Pamuk
37.2671,39.45364,2022-01-24,Nohut
36.76462,38.08494,2024-11-30,Domates
37.86822,40.05839,2023-06-08,Mısır
37.58668,38.33672,2020-09-28,Pamuk
37.28159,39.68473,2024-08-08,Mercimek
37.01139,39.09555,2020-07-30,Domates
37.7919,38.33513,2022-02-28,Mısır
36.6713,38.38891,2025-06-06,Biber
37.62831,38.65708,2022-08-01,Biber
37.07931,38.36362,2025-02-14,Arpa
37.13064,38.88836,2022-07-03,Antep Fıstığı
37.51898,39.21803,2023-09-01,Mercimek
37.44259,38.53769,2021-06-18,Nohut
37.92095,40.22385,2022-08-15,Buğday
36.96153,37.83928,2022-12-20,Arpa
36.76693,39.06632,2024-12-07,Mısır
37.56915,38.26256,2023-05-06,Biber
37.02503,38.38771,2025-08-29,Arpa
37.59779,38.15372,2021-06-05,Pamuk
37.64077,40.12687,2024-11-27,Domates
36.95387,39.97243,2021-01-13,Domates
36.9203,39.57917,2023-04-11,Antep Fıstığı
37.32769,38.81894,2023-05-24,Biber
37.7403,39.77453,2025-09-04,Pamuk
37.59831,39.05466,2024-09-25,Biber
36.70685,39.37709,2022-11-26,Mısır
36.96051,40.23694,2020-05-03,Nohut
37.59889,39.5933,2025-08-12,Buğday
37.61993,39.09436,2020-03-17,Mısır
37.14473,38.35287,2021-06-12,Pamuk
37.18812,38.82439,2021-08-16,Nohut
36.67932,39.62657,2022-11-28,Arpa
36.7453,38.49092,2022-12-12,Buğday
37.51608,37.97797,2023-08-30,Arpa
37.84006,39.23964,2020-06-16,Mısır
37.24536,37.96691,2024-07-23,Buğday
37.25425,39.36155,2021-11-06,Buğday
37.62925,39.88531,2021-08-01,Mercimek
37.93749,40.17082,2021-11-03,Antep Fıstığı
37.28953,38.15764,2022-05-23,Nohut
37.75353,39.66557,2024-10-08,Biber
37.942,39.43122,2022-06-22,Antep Fıstığı
36.79047,39.26944,2025-06-08,Pamuk
37.19105,38.50703,2022-12-05,Nohut
36.80798,39.36781,2020-10-08,Mısır
37.69976,38.75868,2022-07-08,Domates
37.01114,39.72921,2025-01-05,Buğday
36.90489,38.47202,2021-11-04,Mısır
37.12904,38.3126,2024-07-10,Nohut
37.89509,39.20609,2024-05-17,Mısır
37.01343,39.3359,2022-02-27,Domates
37.77714,38.26553,2023-06-23,Nohut
36.70751,39.46032,2021-11-04,Pamuk
37.74708,37.98708,2023-10-28,Domates
36.89685,38.39375,2021-03-13,Pamuk
37.16857,39.42654,2024-11-11,Arpa
37.78347,39.87479,2023-11-19,Arpa
37.24974,39.04834,2021-10-08,Domates
36.89125,40.2095,2025-01-26,Buğday
36.90188,38.66728,2022-11-29,Pamuk
37.50979,38.2826,2024-04-26,Pamuk
36.86912,38.18732,2020-04-19,Nohut
37.51832,39.05699,2020-10-23,Arpa
37.71119,39.33893,2021-12-13,Pamuk
36.76442,38.40253,2021-04-18,Mercimek
37.86007,38.45533,2023-01-15,Mısır
36.67526,39.58095,2025-05-10,Domates
37.63582,38.93686,2020-02-11,Mısır
37.51629,40.10907,2020-07-06,Arpa
37.24483,37.98602,2021-09-22,Pamuk
37.33747,39.06934,2023-01-08,Antep Fıstığı
37.65371,39.7421,2020-07-01,Arpa
37.39028,39.18883,2020-04-13,Arpa
37.08853,38.59808,2021-07-30,Buğday
36.70735,40.04406,2020-01-09,Antep Fıstığı
37.64665,38.10004,2021-10-16,Buğday
37.89946,38.20216,2021-01-06,Arpa
37.07521,39.24072,2025-07-22,Arpa
37.09149,38.20812,2024-08-11,Domates
36.67067,37.81751,2024-01-04,Nohut
37.65642,38.35068,2020-03-15,Pamuk
36.65216,39.47212,2025-06-22,Biber
37.06676,39.74348,2024-11-17,Mercimek
37.48482,40.03902,2020-12-21,Mercimek
37.39756,40.06581,2021-09-30,Biber
37.47211,39.84814,2022-01-15,Domates
37.11265,38.80576,2020-05-06,Biber
37.69357,39.10013,2025-08-07,Domates
37.06276,38.90994,2025-07-08,Arpa
36.87744,38.75487,2022-04-25,Buğday
37.30793,39.11462,2022-03-28,Buğday
37.55003,39.31012,2021-01-21,Mısır
37.5185,39.66154,2021-01-15,Antep Fıstığı
36.83267,39.20997,2025-04-12,Pamuk
36.67185,38.28474,2022-10-22,Arpa
36.83595,39.1389,2021-01-25,Buğday
37.66536,38.07234,2025-10-26,Antep Fıstığı
36.88713,38.19102,2025-08-23,Nohut
37.37351,39.71988,2022-07-08,Mercimek
37.68558,40.15534,2020-06-17,Nohut
37.09404,38.4257,2023-11-17,Antep Fıstığı
36.70243,39.47216,2021-12-26,Biber
37.77444,38.70932,2020-12-18,Buğday
37.30187,38.26705,2025-02-17,Mısır
37.72563,38.2875,2021-04-03,Mısır
37.88107,38.74431,2021-03-22,Buğday
37.28946,39.50207,2020-05-10,Mısır
37.93394,39.86844,2022-07-08,Domates
36.83905,38.69285,2025-12-22,Antep Fıstığı
37.75414,37.92456,2024-09-07,Mercimek
37.46829,39.66069,2021-02-10,Mercimek
37.69631,38.0728,2021-05-11,Domates
37.50417,38.07438,2025-06-05,Mısır
36.78144,37.99483,2020-09-21,Mısır
37.50226,38.29311,2022-09-05,Domates
37.16992,38.69967,2022-07-19,Buğday
37.53966,40.12172,2021-06-14,Mısır
37.58728,38.84361,2023-12-10,Biber
36.9895,38.72286,2025-08-19,Mercimek
37.06004,37.88726,2023-10-27,Arpa
36.98463,39.39262,2020-11-22,Mısır
37.26999,37.82248,2023-07-14,Domates
37.16233,40.10484,2023-12-02,Buğday
37.54521,39.97059,2020-01-21,Domates
37.05017,39.86325,2025-05-26,Buğday
37.80832,39.99478,2023-07-03,Pamuk
37.74837,39.48334,2022-11-18,Buğday
37.29134,40.03687,2025-01-28,Mısır
37.7207,39.50165,2020-03-26,Mercimek
37.38209,38.399,2022-03-20,Antep Fıstığı
37.64304,39.62653,2020-10-27,Pamuk
37.13903,40.16393,2021-03-05,Pamuk
37.53813,38.43346,2025-02-22,Mercimek
37.01366,39.93586,2025-02-17,Pamuk
37.20219,39.95951,2022-01-26,Mercimek
37.74278,38.24754,2022-03-27,Domates
37.84063,40.22654,2020-07-23,Pamuk
36.68131,39.32066,2020-11-03,Domates
37.60483,38.38936,2025-05-18,Mısır
37.1605,39.40334,2020-02-01,Buğday
36.74975,38.29006,2022-11-05,Antep Fıstığı
37.41785,38.64616,2024-05-21,Pamuk
37.79779,38.5021,2025-05-22,Biber
36.69493,39.85179,2023-02-13,Pamuk
36.6663,38.42316,2024-05-31,Buğday
37.11929,38.36373,2021-07-23,Mısır
37.47812,39.52861,2021-06-12,Pamuk
37.91534,40.0569,2021-07-11,Domates
37.02162,38.23696,2022-01-23,Mısır
37.83142,39.77304,2023-12-22,Pamuk
37.85176,39.70535,2023-06-23,Mısır
37.11726,38.69255,2023-10-31,Mısır
37.64688,39.65515,2024-05-11,Pamuk
37.17411,38.50743,2023-03-12,Biber
37.02122,38.75264,2022-01-04,Pamuk
36.99451,39.80535,2023-04-22,Mercimek
37.73629,39.54609,2020-10-21,Mercimek
37.56758,38.07118,2025-03-28,Buğday
37.4026,38.64118,2022-10-13,Domates
37.01861,38.99943,2023-10-26,Mercimek
36.99605,39.6892,2022-04-20,Mercimek
37.66183,39.15409,2021-08-26,Nohut
37.43847,37.90393,2024-10-10,Mısır
37.88483,38.32784,2025-12-29,Nohut
36.96892,38.88447,2020-07-16,Buğday
37.13641,38.40982,2024-07-25,Biber
36.7265,38.48503,2025-10-16,Nohut
37.20926,39.72465,2022-05-18,Arpa
37.45198,39.11677,2021-12-14,Mercimek
36.90702,39.65309,2022-10-17,Mercimek
37.65676,38.9537,2022-04-11,Mısır
36.81442,39.00252,2024-01-06,Buğday
37.45002,38.54043,2024-01-16,Mısır
37.41542,38.98568,2021-09-06,Buğday
36.68192,38.30005,2024-11-08,Pamuk
37.07433,38.08859,2023-04-10,Domates
37.57709,38.28269,2023-06-21,Antep Fıstığı
37.58084,38.34753,2025-06-11,Antep Fıstığı
37.57548,37.89669,2022-06-07,Biber
37.70639,38.5974,2023-12-07,Pamuk
37.73605,39.03938,2020-05-02,Mısır
37.25982,38.0698,2020-03-23,Buğday
37.06872,39.82361,2023-04-05,Biber
37.74115,39.45596,2023-11-17,Pamuk
37.8417,39.39882,2024-02-09,Arpa
36.89795,38.28245,2025-09-12,Nohut
36.71382,40.24476,2020-07-03,Buğday
37.21382,37.86566,2025-03-28,Antep Fıstığı
37.79534,38.98196,2021-08-22,Nohut
37.67912,39.80342,2022-02-20,Biber
37.10135,39.65732,2022-06-24,Domates
37.69158,39.70979,2021-01-14,Nohut
37.27789,40.16821,2025-04-13,Arpa
37.53828,38.52982,2024-07-03,Mısır
37.09416,39.07995,2022-02-11,Arpa
36.80859,38.51721,2022-08-20,Pamuk
37.31562,40.03981,2023-04-26,Mısır
37.72231,38.57363,2020-10-13,Biber
37.45851,39.33047,2025-01-05,Domates
36.66006,38.24015,2025-07-07,Domates
37.06086,38.39497,2023-07-08,Pamuk
37.19336,39.76002,2025-02-15,Buğday
37.60441,39.96657,2024-08-02,Arpa
36.87519,38.95866,2022-09-22,Antep Fıstığı
36.99608,40.21116,2025-07-09,Mercimek
37.43155,40.24589,2024-10-14,Nohut
37.10573,38.42985,2025-09-26,Biber
37.45784,40.14762,2021-05-04,Mısır
37.74184,39.66288,2024-01-16,Pamuk
37.44493,40.02805,2021-03-13,Biber
36.85529,38.15447,2020-06-10,Nohut
37.84564,39.95234,2024-08-27,Domates
37.28554,39.28389,2025-05-06,Mercimek
37.77918,38.06329,2021-07-31,Antep Fıstığı
37.72669,39.81856,2020-06-30,Nohut
37.08745,38.02476,2024-11-24,Biber
36.71256,39.7577,2021-06-19,Arpa
37.08119,39.5749,2024-10-03,Buğday
37.11465,39.51779,2024-02-18,Domates
37.2431,38.58544,2025-09-25,Buğday
37.05604,39.69187,2025-06-29,Domates
37.60734,38.40613,2022-11-05,Domates
36.74351,37.9363,2024-12-19,Arpa
37.79044,38.55921,2020-11-28,Buğday
37.75868,40.1517,2024-07-12,Nohut
36.92416,37.88873,2022-04-21,Mercimek
36.85328,39.1592,2025-04-24,Mısır
36.9327,38.86287,2022-07-19,Buğday
36.75808,39.36576,2021-07-14,Pamuk
36.92411,39.94123,2021-12-31,Mercimek
36.84334,40.2432,2020-10-20,Domates
37.44154,39.01744,2023-05-10,Arpa
37.22887,40.20558,2024-03-04,Nohut
37.22215,38.75834,2024-03-26,Arpa
37.15735,39.16331,2022-09-03,Domates
37.86108,39.38052,2020-07-25,Mısır
37.78422,39.40183,2022-07-08,Arpa
37.76982,39.08594,2022-02-08,Pamuk
37.15638,38.40091,2023-05-15,Antep Fıstığı
37.15477,40.24671,2025-11-24,Mercimek
37.7525,38.75123,2023-02-15,Arpa
36.80759,38.0774,2022-09-10,Nohut
37.80102,38.78752,2021-01-26,Mercimek
37.85659,40.10281,2024-05-12,Domates
37.59966,39.62677,2020-05-13,Mısır
36.65841,38.19625,2020-01-12,Nohut
37.42495,38.76033,2021-05-08,Buğday
37.13823,39.69062,2023-06-24,Mısır
37.52979,38.64121,2022-10-29,Domates
36.82605,39.78993,2022-04-04,Biber
37.52891,39.05233,2020-03-24,Arpa
37.28002,38.52511,2021-02-02,Nohut
37.42544,39.64065,2025-01-11,Buğday
37.54247,38.46211,2021-10-11,Buğday
37.11105,38.25825,2025-01-11,Biber
37.37993,38.10447,2021-02-14,Mısır
37.29037,38.32637,2021-10-05,Mercimek
37.17192,39.57888,2025-07-12,Domates
36.69661,38.42248,2021-06-18,Antep Fıstığı
37.89974,40.05994,2023-07-06,Pamuk
37.0021,39.55392,2025-07-09,Mısır
37.13814,38.86798,2022-11-01,Pamuk
37.58743,38.17191,2023-11-30,Biber
36.78367,39.57075,2024-01-18,Mısır
37.55992,38.01555,2020-08-25,Mercimek
36.93148,38.82832,2022-07-05,Nohut
37.80676,38.8687,2021-04-18,Mısır
37.46281,38.50082,2025-01-20,Antep Fıstığı
37.26019,38.32124,2020-04-20,Mercimek
36.87333,39.67489,2025-01-21,Pamuk
36.93162,38.77811,2020-06-20,Arpa
37.47244,38.72796,2022-11-04,Antep Fıstığı
37.93293,38.58949,2024-03-10,Mısır
37.43672,39.74411,2024-07-14,Mercimek
37.66903,38.14339,2023-10-31,Buğday
37.46981,38.89655,2020-08-24,Domates
37.67281,40.01096,2021-05-25,Arpa
37.84519,39.47661,2023-10-12,Biber
37.41119,40.09645,2022-04-02,Domates
37.34579,37.87724,2024-01-28,Biber
37.85292,37.84806,2024-10-10,Mısır
36.87658,40.19097,2020-11-04,Arpa
36.74551,39.8683,2021-02-20,Antep Fıstığı
37.46111,39.4206,2022-05-27,Mercimek
37.29519,40.11,2021-03-03,Nohut
37.3941,38.95068,2023-10-17,Mısır
36.91622,38.33204,2021-03-19,Antep Fıstığı
37.46242,38.4265,2023-05-07,Antep Fıstığı
37.23708,40.16998,2024-06-07,Mısır
36.76957,39.93747,2022-11-28,Pamuk
37.21963,37.96795,2022-12-21,Domates
36.90618,37.83222,2021-12-20,Mercimek
37.21921,39.88682,2023-11-25,Domates
36.77327,38.4668,2021-08-20,Domates
36.71362,38.43277,2023-05-20,Biber
37.10887,39.84557,2021-05-21,Arpa
37.40152,39.23855,2021-02-05,Mercimek
36.81905,38.48365,2020-04-04,Biber
36.73543,39.16916,2022-04-03,Biber
37.07989,38.22282,2025-11-26,Domates
36.98302,39.00306,2021-07-05,Biber
37.62248,38.20821,2025-11-19,Pamuk
37.83114,40.08109,2022-08-09,Mercimek
37.61863,38.65125,2024-10-14,Antep Fıstığı
36.95203,39.9921,2025-01-28,Mısır
36.77894,38.44162,2024-08-21,Pamuk
37.27327,38.15184,2023-06-04,Nohut
37.6399,40.00882,2023-01-09,Pamuk
37.44583,39.20021,2021-10-01,Mercimek
37.37154,39.11809,2022-07-19,Mısır
36.83401,38.14894,2024-09-19,Mercimek
37.32179,39.54076,2024-05-27,Arpa
36.81228,39.50533,2020-08-11,Domates
36.77335,40.24046,2022-05-31,Pamuk
36.92368,38.45606,2024-10-10,Pamuk
36.73614,39.45264,2024-01-04,Pamuk
37.34622,39.16311,2025-04-12,Antep Fıstığı
37.36075,39.9288,2022-03-27,Domates
37.80279,39.73036,2023-01-19,Nohut
37.3372,37.833,2024-02-16,Domates
37.78088,38.03993,2020-12-17,Mercimek
37.44621,39.60811,2023-11-11,Antep Fıstığı
36.95108,39.65191,2022-03-10,Nohut
37.37782,39.70463,2020-07-03,Biber
37.91254,39.96203,2020-06-30,Buğday
37.30603,38.65056,2023-05-30,Nohut
37.12547,39.55384,2021-01-02,Nohut
36.90173,39.71544,2021-04-27,Buğday
37.70955,39.51167,2025-09-22,Pamuk
37.85908,38.07927,2022-06-23,Mercimek
37.14347,39.30452,2025-11-21,Pamuk
37.94621,39.17587,2021-01-12,Pamuk
36.93048,39.35259,2021-12-13,Antep Fıstığı
37.18866,37.96856,2025-09-15,Buğday
36.80559,40.09468,2021-11-02,Buğday
36.76834,38.10974,2020-07-10,Antep Fıstığı
37.5069,39.42127,2023-03-19,Biber
37.63716,38.54091,2022-10-31,Mercimek
36.82389,39.43726,2025-11-09,Mısır
36.76911,38.79853,2023-02-22,Mercimek
37.41619,38.2464,2024-04-30,Pamuk
37.81598,37.99273,2021-11-19,Mısır
37.54106,39.93265,2024-11-06,Biber
36.79678,39.00756,2020-09-28,Arpa
37.4439,39.7257,2024-08-05,Domates
37.35043,39.23198,2023-02-01,Mısır
37.93193,38.48423,2022-12-14,Antep Fıstığı
37.2027,39.3582,2021-12-21,Domates
37.92345,39.27173,2022-02-22,Buğday
37.76933,39.86441,2025-03-21,Mısır
36.69595,40.23536,2022-07-16,Buğday
37.62745,39.61929,2024-08-13,Nohut
37.8146,38.23946,2024-11-14,Mercimek
36.66291,39.77069,2023-02-23,Nohut
37.25577,38.1008,2023-01-07,Pamuk
37.6966,38.02662,2022-01-27,Domates
37.34696,39.42013,2023-11-22,Domates
37.23048,38.5171,2022-05-10,Arpa
37.08036,39.71284,2022-11-12,Antep Fıstığı
37.34286,39.89439,2024-04-12,Biber
37.05788,39.27974,2023-10-07,Biber
37.31282,40.18208,2024-01-30,Mısır
37.83217,39.13619,2020-04-11,Mercimek
37.56304,38.9422,2023-01-18,Nohut
37.94871,38.17891,2020-07-19,Arpa
37.22005,38.25354,2021-02-06,Domates
37.84612,38.29186,2020-04-26,Mercimek
37.68622,39.30409,2025-08-30,Antep Fıstığı
37.65481,40.24094,2023-10-16,Arpa
37.27228,37.94268,2020-01-08,Antep Fıstığı
37.64054,38.24026,2024-05-12,Antep Fıstığı
37.79198,38.93209,2024-03-15,Antep Fıstığı
36.9716,40.1652,2025-10-03,Nohut
37.34596,39.33685,2021-03-26,Nohut
37.69739,38.89839,2024-11-04,Antep Fıstığı
36.84116,39.60888,2023-11-06,Buğday
37.7551,39.70164,2023-06-09,Domates
37.37813,38.04973,2020-11-26,Arpa
37.9133,38.47221,2025-12-19,Domates
36.98914,39.50633,2021-07-14,Domates
37.07133,38.00222,2021-04-03,Antep Fıstığı
36.66977,38.81553,2022-07-28,Domates
37.44474,39.35102,2021-08-11,Mercimek
37.82672,39.31921,2021-06-29,Mercimek
37.12668,39.86972,2024-02-29,Biber
37.32031,39.18859,2023-05-30,Nohut
36.87905,39.96233,2020-09-05,Biber
36.73044,38.12817,2025-12-24,Arpa
37.08083,39.88426,2020-11-19,Buğday
36.76262,39.99904,2021-02-11,Nohut
36.88752,38.51431,2022-01-23,Buğday
37.44649,39.65429,2024-08-08,Mercimek
37.44303,37.85159,2024-09-10,Arpa
37.64176,38.70484,2022-08-06,Nohut
37.94952,39.73802,2025-01-02,Pamuk
37.94244,39.18749,2022-05-22,Mısır
37.68511,37.99788,2025-10-20,Biber
37.62157,38.79506,2023-06-14,Buğday
37.74605,38.16083,2021-09-03,Arpa
36.69928,39.65185,2020-02-22,Domates
36.71933,38.2261,2021-12-25,Antep Fıstığı
36.76929,39.37794,2024-08-13,Biber
37.23911,39.29843,2025-06-06,Pamuk
36.8303,40.24483,2025-09-22,Domates
36.87874,38.33337,2021-12-18,Antep Fıstığı
37.89864,38.86369,2025-01-11,Nohut
37.18295,38.07441,2022-01-03,Buğday
37.61802,39.36285,2024-08-04,Mısır
37.0881,38.75487,2024-01-26,Mercimek
37.04077,39.2718,2025-06-03,Buğday
36.84245,40.23436,2024-08-24,Nohut
37.94487,39.59926,2020-04-25,Pamuk
37.27241,38.43386,2021-10-22,Mısır
37.74124,38.01447,2023-10-17,Mısır
37.31874,37.85755,2023-08-13,Buğday
37.56357,38.92525,2025-05-25,Arpa
37.39732,39.66552,2021-01-06,Arpa
37.55547,38.42334,2025-02-11,Buğday
37.55739,37.95124,2025-05-08,Antep Fıstığı
36.68011,39.14762,2024-02-20,Antep Fıstığı
36.71045,38.39793,2025-08-30,Arpa
37.92247,39.85873,2022-11-05,Buğday
37.15286,38.76918,2023-09-12,Antep Fıstığı
37.63139,38.801,2025-02-23,Buğday
37.36492,38.17735,2023-06-25,Mercimek
37.34132,39.49405,2023-08-29,Arpa
36.85412,40.09073,2021-04-14,Antep Fıstığı
37.54367,37.95926,2023-12-03,Mısır
36.75925,39.49516,2022-02-04,Domates
36.77866,39.12306,2020-10-17,Nohut
37.23678,38.89825,2021-11-26,Buğday
37.51753,37.80173,2023-09-09,Mercimek
37.75837,40.04375,2025-01-22,Antep Fıstığı
37.88405,37.87694,2022-01-16,Mısır
37.4975,40.14282,2025-06-30,Mercimek
36.72863,38.47037,2021-09-27,Nohut
37.06178,38.03326,2024-12-06,Biber
36.86447,38.08922,2020-10-08,Arpa
36.94054,38.53,2025-09-24,Arpa
36.86208,39.31991,2020-09-24,Buğday
37.61988,39.12458,2023-09-21,Antep Fıstığı
37.68153,39.76445,2023-02-23,Pamuk
36.98531,40.13885,2023-04-05,Biber
36.91424,39.62991,2022-11-25,Mısır
36.88621,38.38458,2022-10-14,Mısır
37.71444,39.00628,2023-11-01,Mısır
36.83662,38.77453,2025-07-22,Antep Fıstığı
37.8816,38.8014,2023-07-09,Mercimek
37.67097,39.09541,2020-11-27,Arpa
37.50763,39.51297,2024-02-03,Mısır
37.27224,37.9541,2020-07-17,Mısır
37.3148,39.57021,2024-04-26,Buğday
37.10992,40.20278,2024-01-30,Biber
37.13059,40.16486,2022-02-22,Domates
